id,title,rating,reviews,initial_price,final_price,stock,favorite,seller_name,breadcrumb,seller_rating,seller_products,seller_chats_responded_percentage,seller_chat_time_reply,seller_joined_date,seller_followers,sold,brand,gmv_cal,shipped_from,heel_height,material,toe_type,wide_fit,country_of_origin,shoe_model,fastener_type,occasion,variations_count,voucher_status,image_count,video_count,discount
22375205388,Sepatu Sandal Import Anak Lucu Sandal Slop Anak Perempuan Tali INARA Korean Style Terbaru 2023 Sepatu Sendal Anak Cewek Jelly Rumah Lucu Kekinian,5.0,2,112250.0,40245.58626353037,8611,0.0,Xingxing_id,"[""Shopee"",""Baby & Kids Fashion"",""Girl Shoes"",""Sandals""]",4.77,128,78.70168371826429,1.0,23 bulan lalu,0.0,2,Unknown,89800.0,Java,Medium,Rubber/EVA/Phylon,Other,No,Indonesia,Other,Slip-On,Other,14,0,8,1,67350.0
18118039086,BEST SELLER!! Sharkwin Sandal Wanita Korea Daily Outfit PU Casual anti-slip Strap Flat Shoes Modern Slippers WSP007 / WSP002 Size 36-40 [ Slippers Sandals ],4.85,5322,119000.0,139080.55931942762,3682,0.0,Sharkwin Official Shop,"[""Shopee"",""Women Shoes"",""Flat Sandals & Flip Flops"",""Flat Sandals""]",4.83,99,100.0,0.5,15 bulan lalu,226386.2631756756,10,Unknown,549000.0,Jabodetabek,Flat,Synthetic,Open Toe,Yes,China,Slides,Slip-On,Other,14,0,10,1,64100.0
22074201638,Sandal Jepit Karet Premium Ando Caldera Original Pria/Wanita Dewasa 38-42 Keren Awet Biru,5.0,1,76900.0,130834.8123592298,599,281.6530962230537,Sinar Mandiri Sepatu Sandal,"[""Shopee"",""Men Shoes"",""Sandals & Flip Flops"",""Flip Flops""]",4.85,225,92.7631049541872,1.0,31 bulan lalu,0.0,1,Unknown,74593.0,Java,Other,Other,Other,No,Indonesia,Other,Other,Other,9,0,5,0,2307.0
14634767144,Sandal Anak Laki Laki Perempuan Lucu Sendal Slop Anak Cewek Cowok Strap Karet Jelly Sendal Anak Anak Murah Empuk,4.75,154,131600.0,68856.55690633484,19420,23.19430970868128,Thehallyu.id_,"[""Shopee"",""Baby & Kids Fashion"",""Boy Shoes"",""Sandals""]",4.78,127,91.75704170982226,1.0,22 bulan lalu,121137.76202043222,386,Unknown,15401400.0,Java,Other,Rubber/EVA/Phylon,Other,No,Indonesia,Other,Buckle,Other,13,0,8,1,91700.0
20077339685,Sandal Jepit Wanita Karet Import BALANCE Motif Bunga Sol Tebal / 1324-8,4.91,148,80000.0,75754.66512731354,17,414.4080105247057,smib.import,"[""Shopee"",""Women Shoes"",""Flat Sandals & Flip Flops"",""Flip Flops""]",4.78,294,99.34509861332351,1.0,28 bulan lalu,268539.4603539396,338,Unknown,13249600.0,Jabodetabek,Medium,Rubber/EVA/Phylon,Other,No,China,Other,Slip-On,Other,7,0,4,0,40800.0
12896723774,gos DULUX 391E BT21 Sandal Gunung Anak Perempuan Motif Karakter BT21  (20-25),4.71,49,45989.0,2000.0,139,0.0,gos.store,"[""Shopee"",""Baby & Kids Fashion"",""Girl Shoes"",""Sandals""]",4.81,719,92.26460336255188,1.0,5 tahun lalu,234504.07919209384,126,Unknown,2381400.0,Java,Other,Other,Other,No,Other,Other,Other,Other,11,0,8,0,27089.0
20959366907,sandal flatform style korean sandal jelly perempuan balance 2304-1,4.78,49,50000.0,2000.0,90,105.3003611875192,KakiLima.Colection,"[""Shopee"",""Women Shoes"",""Flat Sandals & Flip Flops"",""Flat Sandals""]",4.83,391,98.82919803513144,1.0,4 tahun lalu,261500.2969818193,140,Unknown,4060000.0,Jabodetabek,Low,Rubber/EVA/Phylon,Open Toe,No,China,Other,Slip-On,Other,0,0,9,0,21000.0
22774047979,BELLEZA MALL - Platform Sandals LORA FUSCHIA | sendal wedges wanita hak sedang tinggi 3cm warna pink fusia | sandal selop tali cewek | wedge pergi perempuan merah muda beleza shoes official terbaru,5.0,2,179800.0,182897.01628925407,4994,74.5965050573151,Belleza Mall Official,"[""Shopee"",""Women Shoes"",""Wedges""]",4.84,376,95.06464080442186,1.0,20 bulan lalu,137378.87727207193,5,Unknown,449500.0,Jabodetabek,Medium,Synthetic,Open Toe,Yes,Indonesia,Slides,Slip-On,Casual,5,0,8,1,89900.0
18673332311,TERBARU Sandal Slip On Jepit Karet Dewasa Pria PORTO 1016 Size 39-44,5.0,6,35000.0,2000.0,3,8.68218023245889,anthyshoes18,"[""Shopee"",""Men Shoes"",""Sandals & Flip Flops"",""Flip Flops""]",4.86,258,94.79710873576526,1.0,5 tahun lalu,137038.53964950316,18,Unknown,448200.0,Jabodetabek,Other,Rubber/EVA/Phylon,Other,No,Indonesia,Other,Other,Other,7,0,8,0,10100.0
19677571853,ago ATT SM 509 Sandal Selop Terkini buat Pria Slip On murah sepatu kerja anti air berkualitas,5.0,3,89500.0,2000.0,5492,0.0,ago.baby,"[""Shopee"",""Men Shoes"",""Other Men Shoes""]",4.82,523,88.67271965832698,1.0,36 bulan lalu,97538.72423420806,10,Unknown,339000.0,Java,Other,Other,Other,No,Other,Other,Other,Other,9,0,8,0,55600.0
