id,title,rating,reviews,initial_price,final_price,stock,favorite,seller_name,seller_rating,seller_products,seller_chats_responded_percentage,seller_chat_time_reply,seller_joined_date,seller_followers,sold,brand,gmv_cal,country_of_origin,warranty_duration,warranty_type,material,shipped_from,Diameter,variations_count,voucher_status,image_count,video_count,discount,pan_type,rating_credibility,discount_percentage,log_reviews,log_final_price,log_initial_price,log_stock,log_favorite,log_sold,log_gmv_cal,log_seller_followers,log_seller_products,log_discount,z_sold,z_rating_credibility
24913236554,Mecoo Most Aesthetic Premium Non-stick Cookware 7 PCS Granit Anti Lengket Peralatan Masak Dapur Untuk Semua Kompor Panci Wajan Penggorengan Panci Set,5.0,5,1799000.0,1799000.0,0,0,Tiger Cookware,4.91,243,91,1.54,3.890485968514716,21994,6,Other,0.0,Lokal,No Warranty,Supplier Warranty,Other,Jabodetabek,Unknown,3,0,9,0,0.0,Frying Pan / Wok,0.0,0.0,1.791759469228055,14.402742068796885,14.402742068796885,0.0,0.0,1.9459101490553132,0.0,9.99857043378282,5.497168225293202,0.0,-0.18952602142045794,-0.49420862640449975
23665080209,BIMA Prima Panci Kukus 20 CM Steamer Kukusan 2 Susun Stainless Steel - B2007020SS,0.0,53,420000.0,345000.0,0,0,Bima Cookware - My Choice,4.95,66,99,0.38,1.9630390143737169,2491,60,Other,0.0,Indonesia,No Warranty,No Warranty,Stainless Steel,Java,20cm,1,0,8,0,75000.0,Steamer / Dandang,0.0,17.857142857142858,3.9889840465642745,12.75130259456002,12.948012371209098,0.0,0.0,4.110873864173311,0.0,7.820840879907344,4.204692619390966,11.225256725762893,-0.16436699605272173,-0.49420862640449975
9715613311,freemir Panci Kukus Panci Rebus Panci Steamer 1/2/3 Tingkat Pengukus / Alat Kukus 2 Layer Panci Kukusan Stainless Steel Tutup Kaca,4.76,5614,399000.0,122000.0,1035,203,freemir Official Shop,4.83,372,100,0.5,4.0,13,6372,Unknown,1220000.0,Unknown,No Warranty,No Warranty,Other,Jabodetabek,Unknown,7,0,10,1,277000.0,Stock Pot / Soup Pot,4.76,69.42355889724311,8.633196867172543,11.711784520403112,12.896719202134523,6.943122422819428,5.318119993844216,8.759825595314295,14.014362236381235,2.6390573296152584,5.921578419643816,12.531776395271262,2.7764435247093338,2.6258017092595036
4203126885,Panci enamel 1 Set 3 pcs Panci enamel Set 3 cookware set +spatula,4.79,82,148500.0,148500.0,715,212,Galeri barang online semarang,4.75,559,85,1.37,9.141683778234086,9985,98,GSF,0.0,Unknown,No Warranty,No Warranty,Other,Java,Unknown,0,0,3,0,0.0,Other Cookware,3.2335847004769316,0.0,4.418840607796598,11.908346971208951,11.908346971208951,6.573680166960646,5.3612921657094255,4.59511985013459,0.0,9.208939391060555,6.327936783729195,0.0,-0.1466624967198703,1.6252908876150416
17366008585,Panci Set 13 Pcs dan Panci Steamer 5 Set Riject Random,5.0,5,150000.0,150000.0,0,0,homedekorationshop,4.77,678,100,0.1,6.080766598220397,199335,6,Unknown,0.0,Lainnya,No Warranty,No Warranty,Non-Stick Coated,Java,Unknown,2,1,7,0,0.0,Steamer / Dandang,0.0,0.0,1.791759469228055,11.918397239722838,11.918397239722838,0.0,0.0,1.9459101490553132,0.0,12.202747122101597,6.520621127558696,0.0,-0.18952602142045794,-0.49420862640449975
26305047549,Uapofficial Panci Milk Pot 19cm Dan 21cm Gagang Plastik Panci Susu Anti Lengket/Panci Mpasi Rebus Enamel Panci Mie Panci Multifungsi Tebal,4.7,335,50000.0,50000.0,0,0,Uap Official Shop,4.66,104,100,0.14,1.7686516084873374,1400,383,Unknown,0.0,China,No Warranty,No Warranty,Other,Jabodetabek,Unknown,6,1,8,0,0.0,Sauce Pan / Milk Pan,0.0,0.0,5.817111159963204,10.819798284210286,10.819798284210286,0.0,0.0,5.950642552587727,0.0,7.244941546337007,4.653960350157523,0.0,-0.013878751723484727,-0.49420862640449975
4477667912,Panci Pegangan Kayu 16 cm Yukihira Maspion,5.0,1,18000.0,17460.0,85,6,fetri_aksesoris,4.71,516,93,1.0,6.0,4700,5,Unknown,87300.0,Unknown,No Warranty,No Warranty,Other,Java,Unknown,0,0,4,0,540.0,Other Cookware,0.049998333399997305,3.0,0.6931471805599453,9.767725101522128,9.798182590890704,4.454347296253507,1.9459101490553132,1.791759469228055,11.377117196515812,8.45553053102413,6.248042874508429,6.293419278846481,-0.18999192929763825,-0.461436500989801
9259903496,GM Bear Panci Set 3 pcs Marble Coat 1300 - Blaze Cookware Set,4.56,50,699900.0,229900.0,77,233,De Essential Official Store,4.65,527,100,0.5,4.0,81700,95,Unknown,21840500.0,Indonesia,No Warranty,No Warranty,Non-Stick Coated,Jabodetabek,Unknown,0,0,9,1,470000.0,Other Cookware,2.107254237105644,67.15245035005,3.9318256327243257,12.345404060459082,13.45869417545215,4.356708826689592,5.455321115357702,4.564348191467836,16.89927664813831,11.310821520675269,6.269096283706261,13.060490101343552,-0.1480602203514112,0.8870214155369653
21365720120,PANCI STAINLES SET DENGAN TUTUP UKURAN 18CM - 24CM,4.7,335,24902.0,24902.0,0,0,shenar88,4.67,401,58,2.22,6.869267624914442,7377,418,SHENAR,0.0,Indonesia,No Warranty,No Warranty,Other,Jabodetabek,Unknown,4,0,3,0,0.0,Stock Pot / Soup Pot,0.0,0.0,5.817111159963204,10.122743557123146,10.122743557123146,0.0,0.0,6.037870919922137,0.0,8.906257878156621,5.996452088619021,0.0,0.0024280239778257827,-0.49420862640449975
21540125101,Cypruz Grey Marble High Casserole Pan / Panci Anti Lengket + Tutup,4.78,294,522000.0,304500.0,115,14,Cypruz Wellife Official Store,4.82,379,98,1.0,5.0,223400,576,Unknown,175392000.0,Unknown,No Warranty,No Warranty,Other,Jabodetabek,Unknown,2,0,10,0,217500.0,Other Cookware,4.753356316145956,41.66666666666667,5.68697535633982,12.626429650198945,13.165424782571753,4.7535901911063645,2.70805020110221,6.3578422665081,18.982534032529493,12.316723641882957,5.940171252720432,12.289958727201455,0.07604146857231323,2.621447011299104
26973542000,Freemir Panci Listrik Elektrik dengan Kukus Multifungsi Anti Lengket Alat Masak Serbaguna Double Handle 20cm Kapasitas 1.5L White Garansi 1 Tahun,4.94,34,79000.0,79000.0,32,67,fajarhidroponic,4.88,768,96,0.84,7.926078028747433,9143,43,Freemir,0.0,Indonesia,Long Term,Supplier Warranty,Other,Java,Unknown,3,0,9,1,0.0,Steamer / Dandang,1.6177383303550046,0.0,3.5553480614894135,11.277215789596893,11.277215789596893,3.4965075614664802,4.219507705176107,3.784189633918261,0.0,9.120853205474647,6.645090969505644,0.0,-0.17228742996478683,0.5661611868533662
18974812902,PANCI TEFLON SET 4PCS GSF G-2429 ANTI LENGKET UNGU / MERAH & QME QM-2432 4PCS MERAH / FUJIKA ENAMEL SET 6PC PSEF-06,5.0,5,145000.0,145000.0,0,0,Sinar Jaya 168,4.78,1108,89,0.55,3.0718685831622174,8541,6,Unknown,0.0,Unknown,No Warranty,No Warranty,Other,Sumatra,Unknown,4,1,7,0,0.0,Frying Pan / Wok,0.0,0.0,1.791759469228055,11.884495917930655,11.884495917930655,0.0,0.0,1.9459101490553132,0.0,9.052750451401412,7.011213987350367,0.0,-0.18952602142045794,-0.49420862640449975
18971556581,Panci Susu ALUMUNIUM Tebal 18cm/ 20cm /22cm Pegangan Kayu,4.94,130,50400.0,47880.0,72,229,MME STORE,4.77,151,85,1.0,1.9166666666666667,14300,313,Unknown,14986440.0,Indonesia,No Warranty,No Warranty,Aluminium,Jabodetabek,18cm,3,0,8,0,2520.0,Stock Pot / Soup Pot,4.256912407007734,5.0,4.875197323201151,10.776474045001011,10.827766295132466,4.290459441148391,5.438079308923196,5.749392985908253,16.52265641693905,9.568084743872936,5.0238805208462765,7.83241092718792,-0.04649230312610575,2.296045723990555
